,354nm,388nm,500nm
150101,0.942,0.948,0.96
150102,0.942,0.948,0.96
150103,0.942,0.948,0.96
150104,0.942,0.948,0.96
150105,0.942,0.948,0.96
150106,0.942,0.948,0.96
150107,0.942,0.948,0.96
150108,0.942,0.948,0.96
150109,0.942,0.948,0.96
150110,0.942,0.948,0.96
150111,0.909,0.918,0.936
150112,0.942,0.948,0.96
150113,0.942,0.948,0.96
150114,0.976,0.978,0.983
150115,0.942,0.948,0.96
150116,0.942,0.948,0.96
150117,0.942,0.948,0.96
150118,0.942,0.948,0.96
150119,0.942,0.948,0.96
150120,0.942,0.948,0.96
150121,0.942,0.948,0.96
150122,0.942,0.948,0.96
150123,0.942,0.948,0.96
150124,0.942,0.948,0.96
150125,0.942,0.948,0.96
150126,0.942,0.948,0.96
150127,0.942,0.948,0.96
150128,0.942,0.948,0.96
150129,0.942,0.948,0.96
150130,0.942,0.948,0.96
150131,0.925,0.932,0.948
150201,0.917,0.925,0.942
150202,0.938,0.946,0.958
150203,0.938,0.946,0.958
150204,0.938,0.946,0.958
150205,0.938,0.946,0.958
150206,0.933,0.94,0.954
150207,0.938,0.946,0.958
150208,0.938,0.946,0.958
150209,0.938,0.946,0.958
150210,0.938,0.946,0.958
150211,0.938,0.946,0.958
150212,0.938,0.946,0.958
150213,0.938,0.946,0.958
150214,0.938,0.946,0.958
150215,0.959,0.964,0.972
150216,0.938,0.946,0.958
150217,0.938,0.946,0.958
150218,0.938,0.946,0.958
150219,0.938,0.946,0.958
150220,0.938,0.946,0.958
150221,0.938,0.946,0.958
150222,0.938,0.946,0.958
150223,0.938,0.946,0.958
150224,0.938,0.946,0.958
150225,0.938,0.946,0.958
150226,0.938,0.946,0.958
150227,0.938,0.946,0.958
150228,0.938,0.946,0.958
150301,0.929,0.937,0.951
150302,0.898,0.908,0.928
150303,0.936,0.942,0.956
150304,0.936,0.942,0.956
150305,0.936,0.942,0.956
150306,0.936,0.942,0.956
150307,0.936,0.942,0.956
150308,0.936,0.942,0.956
150309,0.936,0.942,0.956
150310,0.936,0.942,0.956
150311,0.936,0.942,0.956
150312,0.936,0.942,0.956
150313,0.936,0.942,0.956
150314,0.932,0.939,0.953
150315,0.936,0.942,0.956
150316,0.929,0.937,0.951
150317,0.936,0.942,0.956
150318,0.936,0.942,0.956
150319,0.936,0.942,0.956
150320,0.936,0.942,0.956
150321,0.936,0.942,0.956
150322,0.936,0.942,0.956
150323,0.936,0.942,0.956
150324,0.936,0.942,0.956
150325,0.936,0.942,0.956
150326,0.936,0.942,0.956
150327,0.936,0.942,0.956
150328,0.936,0.942,0.956
150329,0.936,0.942,0.956
150330,0.98,0.983,0.987
150331,0.936,0.942,0.956
150401,0.929,0.937,0.951
150402,0.929,0.937,0.951
150403,0.929,0.937,0.951
150404,0.929,0.937,0.951
150405,0.929,0.937,0.951
150406,0.929,0.937,0.951
150407,0.929,0.937,0.951
150408,0.936,0.943,0.956
150409,0.929,0.937,0.951
150410,0.929,0.937,0.951
150411,0.966,0.97,0.977
150412,0.929,0.937,0.951
150413,0.929,0.937,0.951
150414,0.929,0.937,0.951
150415,0.944,0.95,0.962
150416,0.929,0.937,0.951
150417,0.929,0.937,0.951
150418,0.929,0.937,0.951
150419,0.929,0.937,0.951
150420,0.912,0.921,0.939
150421,0.929,0.937,0.951
150422,0.929,0.937,0.951
150423,0.929,0.937,0.951
150424,0.934,0.94,0.954
150425,0.929,0.937,0.951
150426,0.929,0.937,0.951
150427,0.935,0.942,0.955
150428,0.929,0.937,0.951
150429,0.929,0.937,0.951
150430,0.929,0.937,0.951
150501,0.987,0.989,0.991
150502,0.937,0.944,0.957
150503,0.95,0.955,0.966
150504,0.937,0.944,0.957
150505,0.937,0.944,0.957
150506,0.937,0.944,0.957
150507,0.937,0.944,0.957
150508,0.937,0.944,0.957
150509,0.937,0.944,0.957
150510,0.937,0.944,0.957
150511,0.937,0.944,0.957
150512,0.937,0.944,0.957
150513,0.937,0.944,0.957
150514,0.937,0.944,0.957
150515,0.937,0.944,0.957
150516,0.937,0.944,0.957
150517,0.93,0.938,0.956
150518,0.937,0.944,0.957
150519,0.913,0.921,0.939
150520,0.937,0.944,0.957
150521,0.937,0.944,0.957
150522,0.937,0.944,0.957
150523,0.937,0.944,0.957
150524,0.937,0.944,0.957
150525,0.937,0.944,0.957
150526,0.928,0.936,0.951
150527,0.937,0.944,0.957
150528,0.937,0.944,0.957
150529,0.937,0.944,0.957
150530,0.937,0.944,0.957
150531,0.937,0.944,0.957
150601,0.91,0.919,0.936
150602,0.934,0.94,0.954
150603,0.91,0.919,0.936
150604,0.91,0.919,0.936
150605,0.91,0.919,0.936
150606,0.91,0.919,0.936
150607,0.91,0.919,0.936
150608,0.91,0.919,0.936
150609,0.931,0.938,0.952
150610,0.91,0.919,0.936
150611,0.923,0.931,0.947
150612,0.996,0.997,0.998
150613,0.928,0.935,0.95
150614,0.93,0.937,0.952
150615,0.91,0.919,0.937
150616,0.91,0.919,0.936
150617,0.91,0.919,0.936
150618,0.91,0.919,0.936
150619,0.934,0.94,0.954
150620,0.913,0.921,0.938
150621,0.938,0.945,0.957
150622,0.91,0.919,0.936
150623,0.954,0.959,0.969
150624,0.905,0.914,0.932
150625,0.91,0.919,0.936
150626,0.973,0.976,0.982
150627,0.896,0.906,0.926
150628,0.931,0.938,0.952
150629,0.908,0.917,0.935
150630,0.925,0.933,0.948
150701,0.887,0.899,0.922
150702,0.887,0.899,0.922
150703,0.873,0.886,0.909
150704,0.887,0.899,0.922
150705,0.887,0.899,0.922
150706,0.948,0.953,0.964
150707,0.915,0.924,0.941
150708,0.887,0.899,0.922
150709,0.887,0.899,0.922
150710,0.887,0.899,0.922
150711,0.887,0.899,0.922
150712,0.887,0.899,0.922
150713,0.912,0.921,0.938
150714,0.923,0.93,0.947
150715,0.877,0.889,0.912
150716,0.96,0.964,0.973
150717,0.859,0.872,0.897
150718,0.887,0.899,0.922
150719,0.846,0.861,0.887
150720,0.918,0.926,0.943
150721,0.887,0.899,0.922
150722,0.866,0.88,0.905
150723,0.936,0.942,0.956
150724,0.887,0.899,0.922
150725,0.918,0.926,0.942
150726,0.856,0.87,0.895
150727,0.887,0.899,0.922
150728,0.887,0.899,0.922
150729,0.867,0.88,0.905
150730,0.914,0.922,0.938
150731,0.87,0.884,0.907
150801,0.925,0.933,0.948
150802,0.862,0.875,0.9
150803,0.886,0.908,0.927
150804,0.832,0.86,0.887
150805,0.88,0.905,0.925
150806,0.886,0.908,0.927
150807,0.901,0.911,0.931
150808,0.886,0.908,0.927
150809,0.886,0.908,0.927
150810,0.886,0.908,0.927
150811,0.886,0.908,0.927
150812,0.886,0.908,0.927
150813,0.816,0.864,0.89
150814,0.845,0.87,0.895
150815,0.886,0.908,0.927
150816,0.847,0.883,0.906
150817,0.885,0.909,0.929
150818,0.829,0.874,0.898
150819,0.886,0.908,0.927
150820,0.881,0.913,0.933
150821,0.917,0.929,0.946
150822,0.886,0.908,0.927
150823,0.882,0.914,0.933
150824,0.911,0.935,0.952
150825,0.886,0.908,0.927
150826,0.886,0.908,0.927
150827,0.886,0.908,0.927
150828,0.886,0.908,0.927
150829,0.886,0.908,0.927
150830,0.886,0.908,0.927
150831,0.886,0.908,0.927
150901,0.923,0.942,0.957
150902,0.93,0.938,0.952
150903,0.923,0.942,0.957
150904,0.923,0.942,0.957
150905,0.923,0.942,0.957
150906,0.939,0.946,0.958
150907,0.923,0.942,0.957
150908,0.923,0.942,0.957
150909,0.923,0.942,0.957
150910,0.923,0.942,0.957
150911,0.912,0.936,0.953
150912,0.923,0.942,0.957
150913,0.905,0.914,0.933
150914,0.923,0.942,0.957
150915,0.898,0.926,0.944
150916,0.923,0.942,0.957
150917,0.923,0.942,0.957
150918,0.919,0.937,0.953
150919,0.923,0.942,0.957
150920,0.923,0.942,0.957
150921,0.923,0.942,0.957
150922,0.923,0.942,0.957
150923,0.923,0.942,0.957
150924,0.923,0.942,0.957
150925,0.923,0.942,0.957
150926,0.923,0.942,0.957
150927,0.948,0.963,0.975
150928,0.923,0.942,0.957
150929,0.923,0.942,0.957
150930,0.923,0.942,0.957
151001,0.937,0.949,0.962
151002,0.937,0.949,0.962
151003,0.937,0.949,0.962
151004,0.936,0.954,0.968
151005,0.952,0.966,0.977
151006,0.937,0.949,0.962
151007,0.937,0.949,0.962
151008,0.937,0.949,0.962
151009,0.937,0.949,0.962
151010,0.937,0.949,0.962
151011,0.937,0.949,0.962
151012,0.944,0.95,0.961
151013,0.937,0.949,0.962
151014,0.937,0.949,0.962
151015,0.937,0.949,0.962
151016,0.937,0.949,0.962
151017,0.937,0.949,0.962
151018,0.937,0.949,0.962
151019,0.937,0.949,0.962
151020,0.937,0.949,0.962
151021,0.937,0.949,0.962
151022,0.937,0.949,0.962
151023,0.937,0.949,0.962
151024,0.942,0.959,0.972
151025,0.953,0.966,0.978
151026,0.937,0.949,0.962
151027,0.978,0.98,0.985
151028,0.937,0.949,0.962
151029,0.937,0.949,0.962
151030,0.937,0.949,0.962
151031,0.937,0.949,0.962
151101,0.956,0.968,0.979
151102,0.964,0.968,0.975
151103,0.936,0.945,0.958
151104,0.936,0.945,0.958
151105,0.936,0.945,0.958
151106,0.936,0.945,0.958
151107,0.936,0.945,0.958
151108,0.936,0.945,0.958
151109,0.936,0.945,0.958
151110,0.936,0.945,0.958
151111,0.936,0.945,0.958
151112,0.936,0.945,0.958
151113,0.936,0.945,0.958
151114,0.936,0.945,0.958
151115,0.936,0.945,0.958
151116,0.936,0.945,0.958
151117,0.936,0.945,0.958
151118,0.936,0.945,0.958
151119,0.936,0.945,0.958
151120,0.936,0.945,0.958
151121,0.936,0.945,0.958
151122,0.936,0.945,0.958
151123,0.936,0.945,0.958
