Dates,354nm,388nm,500nm
2015-01-01,,,
2015-01-02,,,
2015-01-03,,,
2015-01-04,,,
2015-01-05,,,
2015-01-06,,,
2015-01-07,,,
2015-01-08,0.456,0.393,0.246
2015-01-09,,,
2015-01-10,,,
2015-01-11,0.129,0.112,0.072
2015-01-12,,,
2015-01-13,,,
2015-01-14,,,
2015-01-15,,,
2015-01-16,,,
2015-01-17,,,
2015-01-18,0.24,0.207,0.13
2015-01-19,,,
2015-01-20,0.046,0.041,0.03
2015-01-21,,,
2015-01-22,,,
2015-01-23,0.565,0.487,0.305
2015-01-24,0.323,0.278,0.175
2015-01-25,,,
2015-01-26,,,
2015-01-27,0.124,0.107,0.069
2015-01-28,,,
2015-01-29,0.088,0.078,0.055
2015-01-30,,,
2015-01-31,,,
2015-02-01,,,
2015-02-02,,,
2015-02-03,,,
2015-02-04,0.304,0.262,0.164
2015-02-05,,,
2015-02-06,,,
2015-02-07,0.123,0.108,0.075
2015-02-08,0.332,0.313,0.268
2015-02-09,0.161,0.146,0.112
2015-02-10,0.206,0.191,0.156
2015-02-11,0.311,0.268,0.168
2015-02-12,,,
2015-02-13,,,
2015-02-14,,,
2015-02-15,,,
2015-02-16,,,
2015-02-17,,,
2015-02-18,0.315,0.275,0.181
2015-02-19,0.233,0.205,0.141
2015-02-20,,,
2015-02-21,0.085,0.074,0.047
2015-02-22,,,
2015-02-23,,,
2015-02-24,0.593,0.512,0.326
2015-02-25,0.442,0.39,0.264
2015-02-26,0.267,0.239,0.174
2015-02-27,,,
2015-02-28,0.061,0.054,0.037
2015-03-01,,,
2015-03-02,0.126,0.109,0.068
2015-03-03,0.485,0.424,0.279
2015-03-04,0.195,0.168,0.105
2015-03-05,,,
2015-03-06,,,
2015-03-07,,,
2015-03-08,,,
2015-03-09,0.228,0.196,0.122
2015-03-10,,,
2015-03-11,,,
2015-03-12,0.307,0.275,0.2
2015-03-13,,,
2015-03-14,,,
2015-03-15,,,
2015-03-16,,,
2015-03-17,,,
2015-03-18,,,
2015-03-19,0.407,0.357,0.239
2015-03-20,,,
2015-03-21,,,
2015-03-22,0.324,0.283,0.187
2015-03-23,0.299,0.258,0.162
2015-03-24,0.426,0.381,0.275
2015-03-25,0.125,0.11,0.076
2015-03-26,,,
2015-03-27,0.257,0.223,0.144
2015-03-28,0.548,0.486,0.341
2015-03-29,0.246,0.217,0.149
2015-03-30,0.223,0.199,0.142
2015-03-31,0.634,0.546,0.342
2015-04-01,0.214,0.185,0.119
2015-04-02,0.216,0.186,0.117
2015-04-03,0.241,0.208,0.133
2015-04-04,,,
2015-04-05,,,
2015-04-06,0.345,0.31,0.227
2015-04-07,,,
2015-04-08,,,
2015-04-09,0.451,0.389,0.243
2015-04-10,,,
2015-04-11,,,
2015-04-12,,,
2015-04-13,0.616,0.531,0.333
2015-04-14,,,
2015-04-15,,,
2015-04-16,0.435,0.38,0.25
2015-04-17,,,
2015-04-18,0.502,0.432,0.271
2015-04-19,0.198,0.171,0.107
2015-04-20,0.676,0.584,0.37
2015-04-21,0.362,0.313,0.198
2015-04-22,,,
2015-04-23,1.058,0.912,0.572
2015-04-24,0.407,0.35,0.218
2015-04-25,0.595,0.513,0.321
2015-04-26,,,
2015-04-27,,,
2015-04-28,0.21,0.185,0.125
2015-04-29,0.425,0.391,0.312
2015-04-30,0.156,0.14,0.103
2015-05-01,0.406,0.354,0.231
2015-05-02,0.284,0.257,0.192
2015-05-03,0.37,0.318,0.199
2015-05-04,,,
2015-05-05,,,
2015-05-06,0.872,0.752,0.473
2015-05-07,,,
2015-05-08,0.533,0.459,0.287
