Date,AOD Land Ocean Mean,AOD Deep Blue
2015-01-01,,
2015-01-02,,
2015-01-03,0.034,0.034
2015-01-04,,
2015-01-05,,
2015-01-06,,
2015-01-07,,
2015-01-08,,
2015-01-09,,
2015-01-10,,
2015-01-11,0.039,0.037
2015-01-12,0.156,0.123
2015-01-13,,
2015-01-14,,
2015-01-15,,
2015-01-16,,0.061
2015-01-17,,
2015-01-18,,
2015-01-19,,
2015-01-20,0.007,0.007
2015-01-21,0.116,0.116
2015-01-22,,
2015-01-23,,
2015-01-24,,
2015-01-25,0.062,0.058
2015-01-26,,
2015-01-27,0.042,0.038
2015-01-28,,
2015-01-29,0.029,0.027
2015-01-30,,
2015-01-31,,
2015-02-01,,
2015-02-02,,
2015-02-03,,
2015-02-04,0.008,0.011
2015-02-05,,
2015-02-06,0.094,0.094
2015-02-07,,
2015-02-08,,
2015-02-09,0.018000000000000002,0.019
2015-02-10,0.01,0.01
2015-02-11,0.097,0.067
2015-02-12,,
2015-02-13,,
2015-02-14,,
2015-02-15,0.181,0.181
2015-02-16,,
2015-02-17,,
2015-02-18,0.012,0.028
2015-02-19,0.047,0.047
2015-02-20,0.014,0.016
2015-02-21,0.022,0.022
2015-02-22,,
2015-02-23,,
2015-02-24,,
2015-02-25,,
2015-02-26,0.059000000000000004,0.058
2015-02-27,,
2015-02-28,0.053,0.043000000000000003
2015-03-01,0.061,0.061
2015-03-02,0.122,0.122
2015-03-03,0.089,0.08700000000000001
2015-03-04,,
2015-03-05,0.149,0.149
2015-03-06,,
2015-03-07,,
2015-03-08,,
2015-03-09,0.094,0.094
2015-03-10,,
2015-03-11,,
2015-03-12,0.075,0.074
2015-03-13,,
2015-03-14,,
2015-03-15,,
2015-03-16,,
2015-03-17,,
2015-03-18,,
2015-03-19,0.056,0.056
2015-03-20,,
2015-03-21,,
2015-03-22,0.113,0.085
2015-03-23,0.095,0.092
2015-03-24,0.085,0.08
2015-03-25,,
2015-03-26,,
2015-03-27,,
2015-03-28,0.084,0.081
2015-03-29,0.055,0.05
2015-03-30,0.032,0.032
2015-03-31,,
2015-04-01,0.11,0.1
2015-04-02,0.098,0.092
2015-04-03,0.124,0.115
2015-04-04,,
2015-04-05,0.179,0.179
2015-04-06,0.356,0.356
2015-04-07,,
2015-04-08,,0.162
2015-04-09,,
2015-04-10,,
2015-04-11,,
2015-04-12,,
2015-04-13,0.403,0.403
2015-04-14,,
2015-04-15,0.674,0.674
2015-04-16,,
2015-04-17,0.181,0.181
2015-04-18,0.041,0.045
2015-04-19,,
2015-04-20,,
2015-04-21,,
2015-04-22,0.18,0.18
2015-04-23,,
2015-04-24,0.338,0.338
2015-04-25,,
2015-04-26,0.10400000000000001,0.10400000000000001
2015-04-27,0.123,0.123
2015-04-28,,
2015-04-29,0.101,0.101
2015-04-30,0.165,0.11800000000000001
2015-05-01,0.098,0.093
2015-05-02,0.20700000000000002,0.17400000000000002
2015-05-03,0.311,0.311
2015-05-04,,
2015-05-05,,
2015-05-06,0.128,0.128
2015-05-07,,
2015-05-08,,
2015-05-09,0.335,0.335
2015-05-10,,
2015-05-11,,
2015-05-12,,
2015-05-13,0.289,0.252
2015-05-14,,
2015-05-15,0.136,0.136
2015-05-16,0.113,0.091
2015-05-17,0.217,0.217
2015-05-18,0.378,0.378
2015-05-19,,
2015-05-20,0.368,0.156
2015-05-21,,
2015-05-22,0.299,0.299
2015-05-23,,
2015-05-24,0.266,0.266
2015-05-25,0.18,0.145
2015-05-26,0.322,0.322
2015-05-27,0.419,0.419
2015-05-28,0.329,0.329
2015-05-29,0.20800000000000002,0.152
