,"(25.5,-100.5)",PM10,PM2.5
2015-01-01,,32.0,16.0
2015-01-02,,49.0,14.0
2015-01-03,,44.0,30.0
2015-01-04,,40.0,5.0
2015-01-05,,73.0,22.0
2015-01-06,,116.0,22.0
2015-01-07,,,25.0
2015-01-08,0.2461,57.0,8.0
2015-01-09,,44.0,7.0
2015-01-10,,15.0,
2015-01-11,0.0442,,14.0
2015-01-12,,171.0,72.0
2015-01-13,,18.0,10.0
2015-01-14,,23.0,7.0
2015-01-15,,41.0,
2015-01-16,,72.0,
2015-01-17,,132.0,23.0
2015-01-18,0.1298,39.0,13.0
2015-01-19,,289.0,18.0
2015-01-20,0.0353,113.0,37.0
2015-01-21,,112.0,31.0
2015-01-22,,67.0,34.0
2015-01-23,0.3138,70.0,
2015-01-24,0.1748,125.0,16.0
2015-01-25,,83.0,
2015-01-26,,98.0,7.0
2015-01-27,0.0789,71.0,5.0
2015-01-28,,123.0,46.0
2015-01-29,0.0387,130.0,25.0
2015-01-30,,69.0,13.0
2015-01-31,,62.0,14.0
2015-02-01,,104.0,5.0
2015-02-02,,21.0,20.0
2015-02-03,,29.0,13.0
2015-02-04,0.1644,151.0,45.0
2015-02-05,,49.0,
2015-02-06,,53.0,10.0
2015-02-07,0.0424,244.0,101.0
2015-02-08,0.1479,66.0,
2015-02-09,0.0761,46.0,22.0
2015-02-10,0.1925,92.0,16.0
2015-02-11,0.0931,76.0,33.0
2015-02-12,,19.0,
2015-02-13,,82.0,
2015-02-14,,42.0,
2015-02-15,,84.0,33.0
2015-02-16,,56.0,
2015-02-17,,56.0,
2015-02-18,0.1682,76.0,9.0
2015-02-19,0.1562,103.0,20.0
2015-02-20,,232.0,63.0
2015-02-21,0.04732,140.0,21.0
2015-02-22,,127.0,12.0
2015-02-23,,15.0,6.0
2015-02-24,0.3257,54.0,8.0
2015-02-25,0.3677,76.0,22.0
2015-02-26,0.1839,86.0,21.0
2015-02-27,,25.0,15.0
2015-02-28,0.0371,24.0,15.0
2015-03-01,,69.0,41.0
2015-03-02,0.0677,31.0,
2015-03-03,0.27899999999999997,180.0,47.0
2015-03-04,0.0986,158.0,42.0
2015-03-05,,41.0,
2015-03-06,,52.0,12.0
2015-03-07,,56.0,
2015-03-08,,95.0,38.0
2015-03-09,0.1222,93.0,26.0
2015-03-10,,30.0,14.0
2015-03-11,,58.0,25.0
2015-03-12,0.2004,58.0,17.0
2015-03-13,,60.0,17.0
2015-03-14,,,22.0
2015-03-15,,,24.0
2015-03-16,,,32.0
2015-03-17,,39.0,
2015-03-18,,76.0,22.0
2015-03-19,0.2389,184.0,59.0
2015-03-20,,153.0,37.0
2015-03-21,,33.0,18.0
2015-03-22,0.1874,47.0,
2015-03-23,0.1002,130.0,17.0
2015-03-24,0.2752,87.0,12.0
2015-03-25,0.07575,103.0,22.0
2015-03-26,,122.0,27.0
2015-03-27,0.142,86.0,10.0
2015-03-28,0.3884,111.0,31.0
2015-03-29,0.16699999999999998,139.0,33.0
2015-03-30,0.0894,95.0,9.0
2015-03-31,0.3419,80.0,24.0
2015-04-01,0.1193,111.0,17.0
2015-04-02,0.11693333333333332,161.0,7.0
2015-04-03,0.1314,78.0,39.0
2015-04-04,,20.0,6.0
2015-04-05,,39.0,19.0
2015-04-06,0.22666,112.0,20.0
2015-04-07,,92.0,43.0
2015-04-08,,165.0,68.0
2015-04-09,0.24275,112.0,68.0
2015-04-10,,70.0,5.0
2015-04-11,,119.0,22.0
2015-04-12,,103.0,14.0
2015-04-13,0.3328333333333333,119.0,34.0
2015-04-14,,36.0,
2015-04-15,,80.0,64.0
2015-04-16,0.2498,110.0,16.0
2015-04-17,,106.0,7.0
2015-04-18,0.27090000000000003,76.0,36.0
2015-04-19,0.10736666666666668,46.0,
2015-04-20,0.3705000000000001,33.0,11.0
2015-04-21,0.2257,78.0,46.0
2015-04-22,,45.0,24.0
2015-04-23,0.5723,102.0,77.0
2015-04-24,0.1909,123.0,42.0
2015-04-25,0.32118,68.0,19.0
2015-04-26,,48.0,28.0
2015-04-27,,41.0,12.0
