Date,year,month,day,ozone,AOD,RD
150111,2015,1,11,274.0,0.072,9.63
150120,2015,1,20,256.489,0.134,9.63
150127,2015,1,27,267.267,0.196,10.13
150129,2015,1,29,262.889,0.258,9.44
150204,2015,2,4,259.424,0.072,10.62
150713,2015,7,13,297.478,0.567,10.62
150806,2015,8,6,280.9,0.258,9.32
150807,2015,8,7,294.456,0.382,9.05
150808,2015,8,8,301.567,0.382,9.68
150809,2015,8,9,289.411,0.258,9.95
150810,2015,8,10,284.181,0.32,10.35
150811,2015,8,11,284.767,0.196,10.39
150812,2015,8,12,293.078,0.134,10.25
150813,2015,8,13,283.867,0.134,10.24
151025,2015,10,25,260.191,1.0,11.54
151102,2015,11,2,256.978,0.969,9.84
160116,2016,1,16,285.522,1.0,11.23
160128,2016,1,28,278.367,0.969,10.72
160223,2016,2,23,259.424,0.938,10.1
160702,2016,7,2,287.236,0.041,9.57
160707,2016,7,7,271.889,0.014,9.07
160708,2016,7,8,292.267,0.072,9.76
160709,2016,7,9,287.0,0.134,9.44
160811,2016,8,11,291.189,0.026,9.31
160812,2016,8,12,284.181,0.018,9.19
160825,2016,8,25,287.844,0.041,9.37
160909,2016,9,9,276.689,0.041,9.4
161016,2016,10,16,241.7,0.072,9.09
161017,2016,10,17,260.191,0.041,9.22
161018,2016,10,18,260.191,0.041,9.52
161031,2016,10,31,260.191,0.041,9.89
161117,2016,11,17,265.067,0.196,9.44
161216,2016,12,16,253.601,0.072,9.85
161220,2016,12,20,253.601,0.134,10.47
161221,2016,12,21,253.601,0.227,10.11
170103,2017,1,3,255.023,0.072,10.69
170105,2017,1,5,248.756,0.258,10.15
170108,2017,1,8,255.023,0.072,9.55
170109,2017,1,9,259.6,0.072,10.33
170110,2017,1,10,255.023,0.018,9.14
170111,2017,1,11,259.633,0.072,10.76
170112,2017,1,12,255.023,0.196,9.67
170206,2017,2,6,239.511,0.041,9.21
170210,2017,2,10,243.333,0.041,9.56
170226,2017,2,26,247.2,0.072,9.66
170503,2017,5,3,294.833,0.026,9.39
170519,2017,5,19,287.1,0.258,9.2
170612,2017,6,12,283.44,0.026,9.07
170623,2017,6,23,283.489,0.014,9.07
170723,2017,7,23,293.856,0.041,9.25
170813,2017,8,13,287.667,0.018,9.08
170815,2017,8,15,284.181,0.134,9.12
170816,2017,8,16,286.867,0.072,10.25
171103,2017,11,3,254.882,0.196,10.42
171106,2017,11,6,254.882,0.072,9.26
171115,2017,11,15,254.882,0.072,10.65
171204,2017,12,4,259.267,0.258,9.61
180108,2018,1,8,255.023,0.103,10.16
180110,2018,1,10,249.556,0.072,10.47
180114,2018,1,14,306.767,0.134,9.58
180120,2018,1,20,255.023,0.196,9.84
180216,2018,2,16,259.424,0.134,10.98
180302,2018,3,2,273.379,0.134,9.4
180416,2018,4,16,286.4,0.026,9.09
180417,2018,4,17,265.811,0.134,10.68
180418,2018,4,18,285.2,0.382,10.43
180501,2018,5,1,291.267,0.072,9.39
180516,2018,5,16,287.812,0.072,9.13
180518,2018,5,18,292.011,0.072,9.68
180525,2018,5,25,282.011,0.041,9.39
180529,2018,5,29,279.433,0.134,9.72
180530,2018,5,30,287.812,0.258,9.9
180601,2018,6,1,277.111,0.567,10.05
180602,2018,6,2,291.667,0.134,9.28
180603,2018,6,3,289.289,0.134,10.07
180604,2018,6,4,281.411,0.041,9.42
180605,2018,6,5,291.533,0.026,9.16
180608,2018,6,8,275.878,0.014,9.03
180623,2018,6,23,282.667,0.011,9.05
180702,2018,7,2,295.733,0.018,9.19
180703,2018,7,3,302.1,0.134,10.82
180715,2018,7,15,306.733,0.041,9.14
180716,2018,7,16,304.144,0.258,9.16
180717,2018,7,17,287.236,0.041,9.47
180718,2018,7,18,290.967,0.041,9.37
180719,2018,7,19,287.236,0.041,9.25
180720,2018,7,20,291.4,0.134,9.79
180721,2018,7,21,292.911,0.072,9.88
180722,2018,7,22,297.656,0.072,9.78
180729,2018,7,29,286.922,0.134,9.81
180810,2018,8,10,295.467,0.041,9.67
180816,2018,8,16,317.65,0.072,9.11
180817,2018,8,17,296.222,0.041,9.61
180818,2018,8,18,284.181,0.072,9.8
180819,2018,8,19,281.8,0.012,9.0
180825,2018,8,25,284.181,0.041,9.24
180828,2018,8,28,287.067,0.072,9.02
181028,2018,10,28,260.191,0.072,9.95
181029,2018,10,29,256.0,0.134,10.06
181030,2018,10,30,260.191,0.072,10.06
181103,2018,11,3,272.611,0.072,10.59
181106,2018,11,6,254.882,0.072,10.6
181201,2018,12,1,253.601,0.041,10.08
181202,2018,12,2,229.878,0.018,9.06
181227,2018,12,27,253.601,0.134,9.54
190121,2019,1,21,255.023,0.072,9.06
190122,2019,1,22,245.889,0.444,10.89
190124,2019,1,24,258.456,0.103,9.96
190128,2019,1,28,255.023,0.026,9.35
190129,2019,1,29,258.578,0.072,10.2
190207,2019,2,7,250.422,0.382,10.3
190213,2019,2,13,259.424,0.134,9.01
190220,2019,2,20,246.233,0.134,9.36
190224,2019,2,24,259.424,0.196,9.33
190227,2019,2,27,238.9,0.382,9.02
190302,2019,3,2,245.2,0.629,10.89
190411,2019,4,11,262.889,0.382,10.8
190413,2019,4,13,307.5,0.072,9.81
190414,2019,4,14,278.056,0.196,9.72
190418,2019,4,18,275.2,0.134,9.3
190419,2019,4,19,283.622,0.134,9.29
190420,2019,4,20,273.0,0.258,9.45
190421,2019,4,21,276.933,0.505,9.23
190425,2019,4,25,278.989,0.041,9.59
190427,2019,4,27,271.844,0.444,9.75
190428,2019,4,28,276.389,0.444,9.75
190501,2019,5,1,287.812,0.382,9.55
190508,2019,5,8,287.812,0.072,10.49
190518,2019,5,18,274.367,0.258,9.65
190519,2019,5,19,272.967,0.629,9.95
190520,2019,5,20,285.667,0.629,10.23
190522,2019,5,22,285.522,0.629,9.84
190529,2019,5,29,267.722,0.505,9.72
190606,2019,6,6,277.411,0.134,9.27
190607,2019,6,7,272.711,0.134,10.07
190706,2019,7,6,287.236,0.072,10.1
190708,2019,7,8,302.356,0.134,10.24
190709,2019,7,9,289.978,0.072,9.88
190710,2019,7,10,285.667,0.072,9.98
190719,2019,7,19,299.622,0.134,9.78
190720,2019,7,20,287.236,0.134,10.14
190721,2019,7,21,290.4,0.072,10.01
190728,2019,7,28,283.633,0.134,9.7
190730,2019,7,30,275.333,0.258,9.41
190731,2019,7,31,284.878,0.134,9.93
190801,2019,8,1,280.5,0.134,10.05
190808,2019,8,8,278.133,0.196,10.01
190809,2019,8,9,287.0,0.134,9.06
190810,2019,8,10,285.889,0.134,10.81
