Date,year,month,day,ozone,AOD,RD
150111,2015,1,11,274.0,0.783,9.77
150129,2015,1,29,262.889,0.876,10.21
150204,2015,2,4,259.424,0.814,10.08
150208,2015,2,8,259.424,0.783,9.19
150209,2015,2,9,279.533,0.783,10.16
150210,2015,2,10,282.378,0.814,9.88
150211,2015,2,11,259.424,0.907,9.68
150219,2015,2,19,290.767,0.876,10.2
150225,2015,2,25,281.067,0.938,10.78
150329,2015,3,29,287.6,0.969,10.3
150330,2015,3,30,278.733,0.992,10.57
150501,2015,5,1,313.044,0.969,10.42
150516,2015,5,16,316.622,1.0,11.87
150712,2015,7,12,298.533,0.996,10.89
150727,2015,7,27,287.236,0.984,10.52
150731,2015,7,31,297.144,0.969,10.63
150803,2015,8,3,297.389,0.992,10.79
150809,2015,8,9,289.411,1.0,11.72
150827,2015,8,27,282.0,0.938,10.48
151011,2015,10,11,260.191,0.876,10.6
151026,2015,10,26,258.044,0.752,10.45
151027,2015,10,27,260.191,0.783,10.52
160115,2016,1,15,255.023,0.783,9.33
160116,2016,1,16,285.522,0.752,10.76
160117,2016,1,17,255.023,0.783,9.71
160118,2016,1,18,278.0,0.814,10.11
160119,2016,1,19,281.178,0.876,9.19
160120,2016,1,20,255.023,0.845,10.62
160121,2016,1,21,273.033,0.845,9.86
160122,2016,1,22,255.023,0.814,9.6
160123,2016,1,23,270.922,0.783,10.75
160124,2016,1,24,255.023,0.845,9.19
160201,2016,2,1,252.978,0.783,9.68
160202,2016,2,2,259.424,0.845,9.32
160203,2016,2,3,254.2,0.783,10.4
160204,2016,2,4,259.424,0.814,9.44
160206,2016,2,6,261.5,0.814,9.51
160210,2016,2,10,274.933,0.814,9.65
160211,2016,2,11,259.424,0.845,10.0
160212,2016,2,12,267.944,0.876,9.04
160314,2016,3,14,273.379,0.938,10.05
160403,2016,4,3,271.289,0.938,10.97
160404,2016,4,4,268.667,0.938,10.07
160506,2016,5,6,287.7,0.984,10.29
160606,2016,6,6,283.44,0.876,10.02
160706,2016,7,6,284.567,1.0,11.41
160711,2016,7,11,287.236,0.969,9.74
160714,2016,7,14,280.4,0.992,10.7
160715,2016,7,15,291.133,0.984,10.48
160716,2016,7,16,280.044,0.996,10.72
160722,2016,7,22,283.367,0.938,9.6
160724,2016,7,24,300.178,0.992,10.56
160801,2016,8,1,283.789,0.969,10.8
160802,2016,8,2,280.633,0.984,10.74
160803,2016,8,3,284.181,0.984,10.55
160823,2016,8,23,276.189,0.938,10.24
160903,2016,9,3,265.2,0.938,9.48
160912,2016,9,12,280.822,0.984,10.9
161011,2016,10,11,260.191,0.845,10.66
161012,2016,10,12,250.811,0.876,9.54
161031,2016,10,31,260.191,0.845,10.2
161115,2016,11,15,271.244,0.814,9.0
170207,2017,2,7,259.424,0.938,9.0
170208,2017,2,8,245.822,0.907,9.85
170221,2017,2,21,248.767,0.938,9.36
170325,2017,3,25,274.567,1.0,11.56
170331,2017,3,31,273.379,1.0,11.46
170401,2017,4,1,280.667,1.0,11.07
170403,2017,4,3,286.378,1.0,11.34
170419,2017,4,19,297.144,1.0,11.26
170505,2017,5,5,309.622,0.984,10.65
170506,2017,5,6,291.244,1.0,11.06
170608,2017,6,8,279.156,1.0,11.01
170616,2017,6,16,281.111,0.984,10.79
170617,2017,6,17,287.7,0.984,10.45
170621,2017,6,21,277.744,0.969,9.54
170726,2017,7,26,277.822,1.0,11.45
170813,2017,8,13,287.667,1.0,11.78
170908,2017,9,8,269.333,0.938,10.12
170912,2017,9,12,274.478,0.969,9.88
170913,2017,9,13,282.111,0.969,9.76
170914,2017,9,14,276.933,0.969,9.8
170915,2017,9,15,270.822,0.938,10.91
171008,2017,10,8,265.522,0.969,10.62
171019,2017,10,19,258.867,0.907,10.56
171027,2017,10,27,260.191,0.969,9.54
171028,2017,10,28,272.733,0.907,9.93
171029,2017,10,29,275.633,0.907,10.21
180110,2018,1,10,249.556,0.876,10.39
180111,2018,1,11,255.023,0.907,10.04
180112,2018,1,12,259.856,0.814,10.87
180120,2018,1,20,255.023,0.969,9.66
180130,2018,1,30,276.533,0.938,10.03
180216,2018,2,16,259.424,0.992,10.92
180301,2018,3,1,257.167,0.984,10.53
180331,2018,3,31,281.978,1.0,11.45
180415,2018,4,15,295.067,0.969,9.63
180723,2018,7,23,290.344,0.984,10.5
180810,2018,8,10,295.467,1.0,11.73
180823,2018,8,23,294.822,0.984,11.0
180824,2018,8,24,294.767,1.0,11.11
180827,2018,8,27,284.067,1.0,11.89
181106,2018,11,6,254.882,0.938,9.1
181114,2018,11,14,267.3,0.783,10.1
181221,2018,12,21,249.333,0.814,9.72
190104,2019,1,4,236.244,0.907,10.62
190105,2019,1,5,255.023,0.876,10.92
190112,2019,1,12,255.023,0.876,10.04
190120,2019,1,20,236.511,0.876,10.08
190121,2019,1,21,255.023,0.907,9.25
190124,2019,1,24,258.456,0.907,10.29
190128,2019,1,28,255.023,0.938,9.97
190129,2019,1,29,258.578,0.969,10.06
200424,2020,4,24,280.308,0.984,10.9
200930,2020,9,30,264.489,0.938,10.36
201001,2020,10,1,260.191,0.938,10.42
201002,2020,10,2,266.7,0.969,10.67
201003,2020,10,3,260.191,0.992,10.44
201004,2020,10,4,272.944,1.0,11.58
201005,2020,10,5,263.378,0.992,10.58
201006,2020,10,6,260.191,1.0,11.91
201008,2020,10,8,260.191,0.984,10.31
201009,2020,10,9,255.044,0.992,10.84
