Date,year,month,day,ozone,AOD,RD
150204,2015,2,4,259.424,0.258,10.53
150208,2015,2,8,259.424,0.196,9.9
150312,2015,3,12,273.379,0.567,9.72
150323,2015,3,23,289.411,0.382,9.94
150327,2015,3,27,318.1,0.444,9.35
150328,2015,3,28,301.178,0.444,10.76
150329,2015,3,29,287.6,0.32,10.33
150330,2015,3,30,278.733,0.382,10.6
150401,2015,4,1,288.067,0.629,10.7
150402,2015,4,2,293.0,0.505,9.74
150403,2015,4,3,287.056,0.629,9.97
150429,2015,4,29,306.25,0.444,10.5
150430,2015,4,30,293.767,0.505,9.41
150501,2015,5,1,313.044,0.444,10.12
150516,2015,5,16,316.622,0.567,9.54
150525,2015,5,25,313.1,0.567,9.92
150601,2015,6,1,299.189,0.505,10.5
150603,2015,6,3,308.478,0.629,10.64
150614,2015,6,14,283.44,0.629,9.62
150626,2015,6,26,293.667,0.567,10.47
150627,2015,6,27,298.322,0.567,10.62
150704,2015,7,4,293.856,0.629,10.17
150706,2015,7,6,299.733,0.691,10.5
150710,2015,7,10,292.333,0.629,10.56
150712,2015,7,12,298.533,0.567,10.64
150713,2015,7,13,297.478,0.629,9.14
150714,2015,7,14,286.822,0.567,10.22
150715,2015,7,15,280.556,0.691,9.7
150716,2015,7,16,287.236,0.629,9.15
150717,2015,7,17,296.167,0.691,9.58
150719,2015,7,19,289.733,0.629,10.17
150720,2015,7,20,296.433,0.691,10.66
150722,2015,7,22,305.011,0.752,9.11
150723,2015,7,23,297.667,0.691,9.6
150724,2015,7,24,299.656,0.752,10.19
150727,2015,7,27,287.236,0.629,10.06
150728,2015,7,28,283.3,0.691,10.67
150729,2015,7,29,292.489,0.752,10.21
150731,2015,7,31,297.144,0.629,9.57
150802,2015,8,2,298.167,0.567,10.03
150803,2015,8,3,297.389,0.629,10.12
150805,2015,8,5,293.744,0.752,9.43
150806,2015,8,6,280.9,0.691,9.65
150807,2015,8,7,294.456,0.629,10.93
150808,2015,8,8,301.567,0.691,9.67
150809,2015,8,9,289.411,0.691,9.55
150810,2015,8,10,284.181,0.629,9.24
150811,2015,8,11,284.767,0.567,9.2
150812,2015,8,12,293.078,0.567,9.34
150816,2015,8,16,288.044,0.444,9.91
150821,2015,8,21,291.289,0.752,9.46
150823,2015,8,23,297.511,0.691,9.17
150824,2015,8,24,297.633,0.567,10.26
150825,2015,8,25,286.289,0.505,9.69
150826,2015,8,26,284.181,0.567,9.9
150827,2015,8,27,282.0,0.567,9.12
150828,2015,8,28,284.181,0.382,10.28
150829,2015,8,29,285.967,0.444,10.24
150830,2015,8,30,288.889,0.629,9.76
150831,2015,8,31,279.244,0.691,10.81
150901,2015,9,1,274.667,0.629,10.63
150902,2015,9,2,271.108,0.629,9.42
150903,2015,9,3,283.533,0.752,10.11
150908,2015,9,8,276.233,0.752,9.66
150918,2015,9,18,271.108,0.629,9.16
150928,2015,9,28,277.567,0.567,9.48
150929,2015,9,29,271.108,0.505,9.74
150930,2015,9,30,271.108,0.382,9.68
151001,2015,10,1,267.478,0.567,9.6
151002,2015,10,2,260.191,0.505,10.02
160124,2016,1,24,255.023,0.382,10.7
160131,2016,1,31,255.023,0.258,9.03
160201,2016,2,1,252.978,0.258,9.29
160202,2016,2,2,259.424,0.32,10.73
160203,2016,2,3,254.2,0.32,10.35
160204,2016,2,4,259.424,0.32,9.95
160205,2016,2,5,259.424,0.32,10.06
160206,2016,2,6,261.5,0.32,9.36
160210,2016,2,10,274.933,0.382,10.63
160211,2016,2,11,259.424,0.444,9.67
160215,2016,2,15,288.611,0.32,9.64
160216,2016,2,16,259.424,0.444,10.33
160218,2016,2,18,259.424,0.567,9.22
160219,2016,2,19,267.0,0.629,10.82
160312,2016,3,12,273.379,0.382,10.07
160313,2016,3,13,270.2,0.196,10.0
160321,2016,3,21,273.379,0.382,10.36
160322,2016,3,22,284.333,0.444,9.33
160323,2016,3,23,284.256,0.382,9.9
160324,2016,3,24,295.167,0.444,9.28
160327,2016,3,27,281.489,0.32,10.1
160403,2016,4,3,271.289,0.444,10.4
160404,2016,4,4,268.667,0.444,10.12
160405,2016,4,5,261.111,0.567,9.42
160417,2016,4,17,292.444,0.567,9.99
160421,2016,4,21,303.222,0.629,10.8
160426,2016,4,26,294.422,0.629,10.46
160427,2016,4,27,290.533,0.505,10.19
160428,2016,4,28,282.3,0.691,9.31
160430,2016,4,30,283.2,0.444,9.74
160501,2016,5,1,277.189,0.984,10.81
160506,2016,5,6,287.7,0.567,9.55
160510,2016,5,10,287.812,0.629,9.07
160606,2016,6,6,283.44,0.444,9.57
160607,2016,6,7,283.44,0.505,9.99
160608,2016,6,8,283.44,0.567,10.69
160609,2016,6,9,283.44,0.691,9.52
160610,2016,6,10,283.44,0.814,9.37
160613,2016,6,13,283.44,0.814,9.64
160614,2016,6,14,280.0,0.752,9.06
160615,2016,6,15,269.367,0.691,10.6
160617,2016,6,17,279.267,0.752,10.0
160618,2016,6,18,290.389,0.629,10.01
160619,2016,6,19,288.967,0.629,10.15
160622,2016,6,22,286.456,0.691,9.43
160703,2016,7,3,284.233,0.629,10.68
160705,2016,7,5,283.856,0.629,10.68
160706,2016,7,6,284.567,0.691,9.56
160707,2016,7,7,271.889,0.691,9.7
160708,2016,7,8,292.267,0.691,10.1
160709,2016,7,9,287.0,0.752,9.62
160711,2016,7,11,287.236,0.629,10.43
160712,2016,7,12,281.6,0.691,10.24
160713,2016,7,13,287.236,0.691,10.49
160714,2016,7,14,280.4,0.629,10.95
160715,2016,7,15,291.133,0.629,9.26
160716,2016,7,16,280.044,0.691,9.45
160717,2016,7,17,281.233,0.629,9.79
160723,2016,7,23,278.156,0.629,9.4
160724,2016,7,24,300.178,0.567,10.78
160731,2016,7,31,286.011,0.629,9.31
160802,2016,8,2,280.633,0.629,10.23
160803,2016,8,3,284.181,0.629,9.84
160804,2016,8,4,290.367,0.629,9.84
160805,2016,8,5,273.989,0.567,9.53
160823,2016,8,23,276.189,0.629,10.87
160908,2016,9,8,268.789,0.629,10.41
160909,2016,9,9,276.689,0.629,10.3
160912,2016,9,12,280.822,0.567,10.62
160917,2016,9,17,270.322,0.567,9.24
160920,2016,9,20,271.108,0.444,10.33
160921,2016,9,21,275.767,0.567,9.11
161005,2016,10,5,262.622,0.629,10.48
170207,2017,2,7,259.424,0.382,10.77
170218,2017,2,18,259.424,0.444,10.45
170307,2017,3,7,249.156,0.691,10.5
170315,2017,3,15,273.379,0.567,9.27
170316,2017,3,16,273.379,0.629,9.02
170318,2017,3,18,286.344,0.444,9.49
170320,2017,3,20,280.367,0.567,9.23
170321,2017,3,21,281.689,0.567,10.45
170322,2017,3,22,278.0,0.629,9.63
170325,2017,3,25,274.567,0.505,9.82
170327,2017,3,27,283.3,0.629,9.87
170330,2017,3,30,267.6,0.567,10.94
170331,2017,3,31,273.379,0.505,10.17
170401,2017,4,1,280.667,0.505,10.41
170402,2017,4,2,286.522,0.505,10.38
170403,2017,4,3,286.378,0.505,10.09
170404,2017,4,4,273.244,0.505,10.99
170405,2017,4,5,280.522,0.505,9.77
170408,2017,4,8,273.644,0.629,10.5
170409,2017,4,9,280.308,0.629,10.47
170419,2017,4,19,297.144,0.505,10.03
170420,2017,4,20,297.744,0.629,9.23
170421,2017,4,21,296.056,0.629,9.48
170422,2017,4,22,294.122,0.567,9.91
