Date,year,month,day,ozone,AOD,RD
150204,2015,2,4,259.424,0.165,10.37
150208,2015,2,8,259.424,0.134,9.22
150312,2015,3,12,273.379,0.382,9.46
150323,2015,3,23,289.411,0.258,9.34
150327,2015,3,27,318.1,0.258,10.66
150328,2015,3,28,301.178,0.32,9.31
150329,2015,3,29,287.6,0.196,10.56
150330,2015,3,30,278.733,0.258,9.9
150401,2015,4,1,288.067,0.444,9.34
150402,2015,4,2,293.0,0.32,10.09
150403,2015,4,3,287.056,0.413,10.1
150429,2015,4,29,306.25,0.32,9.03
150430,2015,4,30,293.767,0.32,9.77
150501,2015,5,1,313.044,0.289,9.89
150516,2015,5,16,316.622,0.351,10.35
150525,2015,5,25,313.1,0.382,9.47
150601,2015,6,1,299.189,0.32,10.84
150603,2015,6,3,308.478,0.444,9.21
150614,2015,6,14,283.44,0.413,9.62
150626,2015,6,26,293.667,0.382,10.02
150627,2015,6,27,298.322,0.382,10.13
150704,2015,7,4,293.856,0.413,10.28
150706,2015,7,6,299.733,0.475,9.66
150710,2015,7,10,292.333,0.444,9.25
150712,2015,7,12,298.533,0.382,10.16
150713,2015,7,13,297.478,0.382,10.56
150714,2015,7,14,286.822,0.382,9.65
150715,2015,7,15,280.556,0.444,10.18
150716,2015,7,16,287.236,0.382,10.56
150717,2015,7,17,296.167,0.444,10.18
150719,2015,7,19,289.733,0.413,10.18
150720,2015,7,20,296.433,0.475,9.93
150722,2015,7,22,305.011,0.475,10.21
150723,2015,7,23,297.667,0.444,10.21
150724,2015,7,24,299.656,0.505,10.07
150727,2015,7,27,287.236,0.413,10.06
150728,2015,7,28,283.3,0.475,9.95
150729,2015,7,29,292.489,0.505,9.96
150731,2015,7,31,297.144,0.382,10.87
150802,2015,8,2,298.167,0.382,9.45
150803,2015,8,3,297.389,0.413,10.23
150805,2015,8,5,293.744,0.505,9.19
150806,2015,8,6,280.9,0.444,10.26
150807,2015,8,7,294.456,0.444,9.61
150808,2015,8,8,301.567,0.444,10.28
150809,2015,8,9,289.411,0.444,10.16
150810,2015,8,10,284.181,0.382,10.67
150811,2015,8,11,284.767,0.351,10.14
150812,2015,8,12,293.078,0.351,10.26
150816,2015,8,16,288.044,0.289,9.79
150821,2015,8,21,291.289,0.505,9.34
150823,2015,8,23,297.511,0.444,9.9
150824,2015,8,24,297.633,0.382,9.78
150825,2015,8,25,286.289,0.32,10.04
150826,2015,8,26,284.181,0.382,9.54
150827,2015,8,27,282.0,0.351,9.96
150828,2015,8,28,284.181,0.258,9.71
150829,2015,8,29,285.967,0.289,10.11
150830,2015,8,30,288.889,0.413,9.89
150831,2015,8,31,279.244,0.475,10.05
150901,2015,9,1,274.667,0.444,9.26
150902,2015,9,2,271.108,0.382,10.89
150903,2015,9,3,283.533,0.505,9.98
150908,2015,9,8,276.233,0.505,9.55
150918,2015,9,18,271.108,0.382,10.82
150928,2015,9,28,277.567,0.382,9.21
150929,2015,9,29,271.108,0.32,10.27
150930,2015,9,30,271.108,0.258,9.19
151001,2015,10,1,267.478,0.382,9.2
151002,2015,10,2,260.191,0.32,10.55
160124,2016,1,24,255.023,0.258,10.23
160131,2016,1,31,255.023,0.134,10.47
160201,2016,2,1,252.978,0.134,10.72
160202,2016,2,2,259.424,0.227,9.54
160203,2016,2,3,254.2,0.196,10.79
160204,2016,2,4,259.424,0.196,10.39
160205,2016,2,5,259.424,0.196,10.5
160206,2016,2,6,261.5,0.196,9.81
160210,2016,2,10,274.933,0.258,10.05
160211,2016,2,11,259.424,0.289,9.82
160215,2016,2,15,288.611,0.196,10.05
160216,2016,2,16,259.424,0.289,10.46
160218,2016,2,18,259.424,0.351,10.52
160219,2016,2,19,267.0,0.444,9.49
160312,2016,3,12,273.379,0.258,9.57
160313,2016,3,13,270.2,0.134,9.29
160321,2016,3,21,273.379,0.258,9.78
160322,2016,3,22,284.333,0.258,10.65
160323,2016,3,23,284.256,0.258,9.31
160324,2016,3,24,295.167,0.258,10.59
160327,2016,3,27,281.489,0.196,10.35
160403,2016,4,3,271.289,0.32,9.0
160404,2016,4,4,268.667,0.289,10.01
160405,2016,4,5,261.111,0.382,9.07
160417,2016,4,17,292.444,0.382,9.51
160421,2016,4,21,303.222,0.444,9.47
160426,2016,4,26,294.422,0.444,9.15
160427,2016,4,27,290.533,0.32,10.41
